Date,Time,Request ID,Property Name,Floor,Space,Request Type,Sub Type,Status,Priority,Crew,Date Closed,Original Message,Originated From,Asset#,Complete By,Labor Hours,Billing Type,Initial Work Complete Date,Initial Work Complete Comment
02-08-2023,11:44 AM PST,366950,Student Union Building,1,A131,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,2/15/2023 10:07 AM,"Please put in a work order for a leg of the glass dishwasher in the pub that has fallen off and is in the pub office. We believe it is the one from the back right of the attached sink which is also attached to the wall and still seems very secure but best to have looked at anyway.    Thank you,  Dale  ",Self-Service,,3/22/2023 11:44 AM,0.5,UVSS_GSS,2/15/2023 10:07:00 AM,Updated
02-09-2023,9:18 AM PST,367015,Student Union Building,1,B144A,Repair,Equipment,Closed,1 - Urgent,Mechanical - Refrigeration,5/30/2023 2:09 PM,"Urgent  -  Please put in a work order to repair the fridge door (holds milk). It has fallen off! Thank you,",Self-Service,,02-10-2023 09:18,2.5,UVSS_GSS,5/30/2023 2:09:00 PM,Updated
2/15/2023,9:09 AM PST,367468,Student Union Building,1,A136,Repair,Other,Closed,1 - Urgent,Mechanical - Refrigeration,2/21/2023 7:10 AM,URGENT  -  Please send someone ASAP to check the walk-in coolers in the main kitchen and Health Food Bar (A115). They went below 0 (-10) last night and froze all the contents. Thank you.,Self-Service,,2/16/2023 9:09 AM,3.5,UVSS_GSS,2/21/2023 7:10:00 AM,Updated
2/15/2023,2:19 PM PST,367545,Student Union Building,1,B128,Repair,Other,Closed,3- Routine,Carpentry,2/26/2023 9:49 AM,Please submit a work order to fix a chair leg. The chair and spare screw are in B128.    Thank you.,Self-Service,,3/29/2023 2:19 PM,1.5,UVSS_GSS,2/23/2023 12:09:00 PM,complete
2/17/2023,8:56 AM PST,367675,Student Union Building,1,A143,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,2/21/2023 11:02 AM,Please submit a work request for the Main Kitchen walk-in cooler A143.  There is water leaking onto the floor inside the cooler. The water is leaking from a drain pipe coming from the fan cooling unit. Thank you.,Self-Service,,3/31/2023 8:56 AM,0.5,UVSS_GSS,2/21/2023 11:02:00 AM,Updated
2/17/2023,11:46 AM PST,367699,Student Union Building,1,B128,Repair,Equipment,Closed,3- Routine,Carpentry,2/26/2023 9:49 AM,Please submit a work order for a broken chair leg.    Thank you.,Self-Service,,3/31/2023 11:46 AM,1.5,UVSS_GSS,2/23/2023 12:21:00 PM,Updated
2/21/2023,9:24 AM PST,367765,Student Union Building,1,A143,Repair,Water Leak,Closed,1 - Urgent,Plumbing,2/22/2023 2:29 PM,URGENT- Please submit a work order for a water leakage for the walk-in cooler. There is a pool of water on the floor.    Thank you.    Brad,Self-Service,,2/22/2023 9:24 AM,1,UVSS_GSS,2/22/2023 2:29:00 PM,Updated
2/21/2023,9:29 AM PST,367768,Student Union Building,1,A136,Repair,Water Leak,Closed,1 - Urgent,Plumbing,2/21/2023 1:00 PM,URGENT-Please submit a work order for a sink drain leak.    Thank you.    Brad,Self-Service,,2/22/2023 9:29 AM,1,UVSS_GSS,2/21/2023 1:00:00 PM,Updated
2/21/2023,10:41 AM PST,367781,Student Union Building,1,A108,Repair,Lighting,Closed,3- Routine,Electrical - Lighting,2/22/2023 9:57 AM,Please submit a work order to replace a flickering light above the Zap Copy store entrance.    Thank you.,Self-Service,,04-04-2023 10:41,2,UVSS_GSS,2/22/2023 9:57:00 AM,Updated
2/22/2023,2:22 PM PST,367879,Student Union Building,1,B138,Repair,Lighting,Closed,3- Routine,Electrical - Lighting,2/23/2023 9:15 AM,Please submit a work order for a fluorescent fixture that is flickering at the Heart Pharmacy.    Thank you.    Joe,Self-Service,,04-05-2023 14:22,1,UVSS_GSS,2/23/2023 9:15:00 AM,Updated
2/23/2023,10:00 AM PST,367921,Student Union Building,1,A151,Repair,Lighting,Closed,3- Routine,Electrical - Lighting,2/27/2023 9:30 AM,Please submit a work order to have the light that is burnt out in the cooler replaced. Not sure if they’ll need access but Purchasing or the Pub will be able to let them in.    ,Self-Service,,04-06-2023 10:00,0.5,UVSS_GSS,2/27/2023 9:30:00 AM,Updated
2/24/2023,1:08 PM PST,368021,Student Union Building,1,A152,Repair,Electrical,Closed,3- Routine,Electrical,03-06-2023 09:20,"Please submit a work order for a wiring problem with the bevcheck system.     Thank you,",Self-Service,,04-07-2023 13:08,1,UVSS_GSS,03-06-2023 09:20,Updated
2/25/2023,5:10 PM PST,368277,Student Union Building,1,A121,Repair,Doors / Locks / Keys,Closed,1 - Urgent,Carpentry,2/27/2023 2:14 PM,Urgent - door to the small side of the MPR will not open - the pinned side of the double door - the pin is stuck and won’t release so we can’t open that side. Could someone please repair on Monday feb 27 ASAP? We need to get the door open so we can move furniture in and out of the room. Thank you!,Self-Service,,2/28/2023 7:30 AM,1,UVSS_GSS,2/27/2023 2:14:00 PM,Completed.
2/27/2023,9:27 AM PST,368317,Student Union Building,1,A135,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,03-08-2023 09:48,Please put in a work order for the ice machine in A135. It has been making a beeping sound since the weekend. Thank you.,Self-Service,,04-10-2023 09:27,1,UVSS_GSS,03-08-2023 09:48,Updated
2/27/2023,12:58 PM PST,368363,Student Union Building,1,B146,Repair,Other,Closed,3- Routine,Carpentry,3/14/2023 10:49 AM,Please put in a work order for the door stopper to the vestibule interior Cinecenta theatre doors on the left. It is loose and therefore not staying up and dragging on the carpet. Thank you.,Self-Service,,04-10-2023 12:58,1,UVSS_GSS,03-01-2023 08:23,Work Completed
03-02-2023,9:04 AM PST,369779,Student Union Building,1,B103,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,03-02-2023 13:52,Please put in a work order to retrieve a key that's jammed in the lock of the gate. Thank you.,Self-Service,,4/13/2023 9:04 AM,0.5,UVSS_GSS,03-02-2023 13:52,"Completed, serviced lock and fixed issue."
03-03-2023,9:35 AM PST,369846,Student Union Building,1,A136,Repair,Plumbing and Fixtures,Closed - Incomplete,3- Routine,Mechanical - Supervisor,3/22/2023 3:16 PM,Please put in a work request for a water leak in the Main Kitchen. There is water dripping from the exhaust hood over the dishwasher.    Thank-you  Brad Mielke  Manager Food Services  UVic Students’ Society  Foodmanager@uvss.ca  250-472-4396    ,Self-Service,,4/14/2023 9:35 AM,0,UVSS_GSS,,
03-06-2023,10:12 AM PST,369945,Student Union Building,1,A143,Repair,Equipment,Closed,3- Routine,Mechanical - Refrigeration,3/22/2023 7:19 AM,This is a work order for the main cooler in the Kitchen. Everything froze. Dale Atcheson is looking into it. Thank you.,Self-Service,,4/17/2023 10:12 AM,3,UVSS_GSS,3/22/2023 7:19:00 AM,Updated
03-06-2023,2:34 PM PST,369992,Student Union Building,1,A136,Repair,Other,Closed,3- Routine,Mechanical - Buildings,03-08-2023 16:33,"There is a squeaking noise in the hoods of the main kitchen that should be looked at in case things get worse. They are overdue for cleaning but know Ward is setting up. If possible would be ideal if Steve Webb from Mechanical could check out.    Thank you,    Dale Robertson  P: 250-721-8350   E: uvssgm@uvss.ca  ",Self-Service,,4/17/2023 2:34 PM,2.5,UVSS_GSS,03-08-2023 12:38,Updated
03-07-2023,9:35 AM PST,370027,Student Union Building,1,A131B,Repair,Plumbing and Fixtures,Closed,1 - Urgent,Plumbing,03-08-2023 15:41,URGENT  -  Please submit a work order to plumbing to ensure all toilets in the Felicita’s womens washroom are functional before 1130am today. Thank you.,Self-Service,,03-08-2023 09:35,1,UVSS_GSS,03-08-2023 15:41,Updated
03-07-2023,10:49 AM PST,370042,Student Union Building,1,A143,Repair,Equipment,Closed,3- Routine,Electrical,03-10-2023 07:32,Cooler SUB    Parent     Mechanical 369945  This is a work order for the main cooler in the Kitchen. Everything froze. Dale Atcheson is looking into it. Thank you.    Electrical   Shut down power to cooler A143  Call Dale to coordinate 250-880-0182,Self-Service,,4/18/2023 10:49 AM,1,UVSS_GSS,03-10-2023 07:32,Updated
03-07-2023,10:49 AM PST,370043,Student Union Building,1,A143,Repair,Equipment,Closed - Admin,3- Routine,ADMIN,3/27/2023 10:19 AM,Cooler SUB    Parent     Mechanical 369945  This is a work order for the main cooler in the Kitchen. Everything froze. Dale Atcheson is looking into it. Thank you.    Electrical 370042  Shut down power to cooler A143  Call Dale to coordinate 250-880-0182,Self-Service,,4/18/2023 10:49 AM,0,UVSS_GSS,3/27/2023 10:19:00 AM,Parent W/O closed following child W/O completion
03-07-2023,10:55 AM PST,370046,Student Union Building,1,B128A,Repair,"Heating, Ventilation, Air Conditioning",Closed,3- Routine,Mechanical - Refrigeration,9/19/2023 9:43 AM,There's a noise in the heating vents. Please put in a work order to check it. Thank you.,Self-Service,,4/18/2023 10:55 AM,7,UVSS_GSS,9/19/2023 9:43:00 AM,Updated
03-09-2023,9:15 AM PST,370214,Student Union Building,1,B142,Repair,Doors / Locks / Keys,Closed,1 - Urgent,Carpentry,3/27/2023 3:49 PM,URGENT   -    The dental office is having major issues still with the outside door to the dental office. It locks itself numerous times during the day. It has been doing this everyday since it was last looked at. Please put in a work order to get this looked at ASAP. Thank you. ,Self-Service,,03-10-2023 09:15,10,UVSS_GSS,3/27/2023 3:47:00 PM,"Completed, door needed more modifications that required a lot more time."
03-09-2023,11:34 AM PST,370230,Student Union Building,1,B128,Repair,Other,Closed,3- Routine,Carpentry,3/14/2023 10:02 AM,Work order for carpentry to fix a broken table. Thank you.,Self-Service,,4/20/2023 11:34 AM,1.5,UVSS_GSS,3/14/2023 9:56:00 AM,Work Completed
03-10-2023,8:58 AM PST,370275,Student Union Building,1,B101D,Repair,Doors / Locks / Keys,Closed,3- Routine,Carpentry,03-10-2023 14:52,"URGENT -  Please submit a work order to fix the exterior door at the end of hallway B101D. The top hydraulic bar at the top of the door has come unhinged. The door is basically slamming very loud whenever it closes. When the wind blows, the door opens by itself and then slams back. Thank you!",Self-Service,,4/21/2023 8:58 AM,0.5,UVSS_GSS,03-10-2023 14:51,work complete.
3/13/2023,11:33 AM PDT,370414,Student Union Building,1,A118,Repair,Plumbing and Fixtures,Closed,3- Routine,Plumbing,3/14/2023 12:47 PM,Please submit work order for the motion sensor faucet on the most right. It is not working. Thank you. ,Self-Service,,4/24/2023 11:33 AM,1,UVSS_GSS,3/14/2023 12:47:00 PM,Updated
